time_stamp,Location,name,latitude,longitude,altitude,model,firmware_version,last_seen,humidity,channel a,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,channel b,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,A,B,Diff,SD,JumpA,JumpB,JumpSD,Q&A,Uncorrected Average,Corrected Value
07-28-2022 08:11:17,Keene,KSC 04,42.93053,-72.27235,476,PA-II,7.00,07-28-2022 08:09:58,71,,9.2,8.6,7.6,7.9,,7.6,7.3,6.6,7.2,8.6,7.3,1.3,0.65,0.0,0.0,0.0,Passed,7.95,2.04
07-28-2022 08:11:18,Merrimack,KSC 15,42.899563,-71.46465,301,PA-II,7.00,07-27-2022 09:02:30,35,,3.7,3.8,4.4,9.3,,2.6,3.1,3.8,8.7,3.8,3.1,0.7,0.35,0.0,0.0,0.0,Passed,3.45,1.81
07-28-2022 08:38:44,Concord,"12 Noyes Street, Concord, NH",43.192043,-71.54158,291,PA-II-SD,7.00,07-28-2022 08:35:00,64,,7.7,7.8,5.2,4.4,,7.4,7.4,4.9,4.3,7.8,7.4,0.4,0.2,0.9,1.0,0.04999999999999999,Passed,7.6,2.32
07-28-2022 08:38:45,Bow,Junder22,43.08963,-71.50244,619,PA-II,7.00,07-28-2022 08:37:49,65,,6.7,7.6,6.5,6.0,,7.8,8.1,7.0,6.4,7.6,8.1,0.5,0.25,0.5,0.4,0.04999999999999999,Passed,7.85,2.4
07-28-2022 08:38:46,Dunbarton,NHDES_katerr,43.11861,-71.61618,885,PA-II-SD,7.00,07-28-2022 08:38:03,None,,7.5,7.9,7.2,6.4,,8.3,8.1,7.3,6.2,7.9,8.1,0.2,0.1,0.7,0.9,0.10000000000000003,RH,8.0,1.51
07-28-2022 08:38:48,Concord,"12 Noyes Street, Concord, NH",43.19211,-71.54146,286,PA-II-SD,7.00,07-28-2022 08:36:23,62,,9.3,9.8,7.4,6.1,,12.5,10.9,8.4,6.8,9.8,10.9,1.1,0.55,0.9,0.7,0.10000000000000003,Passed,10.35,4.13
07-28-2022 08:38:49,Laconia,NH7,43.565853,-71.49613,708,PA-II-SD,7.00,07-28-2022 08:36:22,63,,7.2,7.4,7.7,6.8,,8.0,7.6,7.8,6.6,7.4,7.6,0.2,0.1,0.0,0.2,0.1,Passed,7.5,2.33
07-28-2022 08:38:50,Concord,NHDES Max,43.289764,-71.56426,370,PA-II-SD,7.00,07-28-2022 08:36:48,63,,6.0,7.1,6.5,6.4,,7.2,7.2,6.6,6.2,7.1,7.2,0.1,0.05,0.2,0.0,0.1,Passed,7.15,2.11
07-28-2022 08:38:51,Suncook,NH2,43.132477,-71.458374,230,PA-II-SD,7.00,07-28-2022 08:37:32,57,,12.4,12.4,10.5,9.1,,12.1,11.8,9.7,8.1,12.4,11.8,0.6,0.3,0.1,0.2,0.05,Passed,12.1,5.55
07-28-2022 08:38:52,Raymond,MChase_ParkPl,43.00408,-71.17704,194,PA-II-SD,7.00,07-28-2022 08:37:55,61,,9.3,9.7,7.9,7.2,,0.0,0.0,0.0,0.3,9.7,0.0,9.7,4.85,1.2,0.0,0.6,Passed,4.85,0.85
07-28-2022 08:38:53,Keene,KSC 04,42.93053,-72.27235,476,PA-II,7.00,07-28-2022 08:37:58,64,,11.7,9.3,8.0,7.9,,9.8,8.2,7.0,7.2,9.3,8.2,1.1,0.55,0.7,0.9,0.10000000000000003,Passed,8.75,3.02
07-28-2022 08:38:54,Merrimack,KSC 15,42.899563,-71.46465,301,PA-II,7.00,07-27-2022 09:02:30,35,,3.7,3.8,4.4,9.3,,2.6,3.1,3.8,8.7,3.8,3.1,0.7,0.35,0.0,0.0,0.0,Passed,3.45,1.81
07-28-2022 08:41:04,Concord,"12 Noyes Street, Concord, NH",43.192043,-71.54158,291,PA-II-SD,7.00,07-28-2022 08:38:59,63,,7.7,7.9,5.3,4.4,,8.8,7.5,5.0,4.3,7.9,7.5,0.4,0.2,0.1,0.1,0.0,Passed,7.7,2.45
07-28-2022 08:41:05,Bow,Junder22,43.08963,-71.50244,619,PA-II,7.00,07-28-2022 08:39:49,65,,7.1,7.5,6.5,6.0,,7.7,8.0,7.0,6.4,7.5,8.0,0.5,0.25,0.1,0.1,0.0,Passed,7.75,2.34
07-28-2022 08:41:06,Dunbarton,NHDES_katerr,43.11861,-71.61618,885,PA-II-SD,7.00,07-28-2022 08:40:03,None,,7.0,7.8,7.2,6.4,,8.0,8.1,7.3,6.2,7.8,8.1,0.3,0.15,0.1,0.0,0.05,RH,7.95,1.48
07-28-2022 08:41:08,Concord,"12 Noyes Street, Concord, NH",43.19211,-71.54146,286,PA-II-SD,7.00,07-28-2022 08:40:23,63,,10.6,9.9,7.5,6.1,,12.0,11.2,8.5,6.8,9.9,11.2,1.3,0.65,0.1,0.3,0.09999999999999999,Passed,10.55,4.19
07-28-2022 08:41:09,Laconia,NH7,43.565853,-71.49613,708,PA-II-SD,7.00,07-28-2022 08:38:22,62,,7.8,7.5,7.7,6.8,,7.7,7.6,7.8,6.6,7.5,7.6,0.1,0.05,0.1,0.0,0.05,Passed,7.55,2.43
